context_type,context_value,tag,lift
season,autumn,weeknight,1.103
season,autumn,one-dish-meal,1.114
season,autumn,fall,1.369
season,autumn,crock-pot-slow-cooker,1.149
season,autumn,ground-beef,1.108
season,autumn,winter,1.184
season,autumn,soups-stews,1.26
season,autumn,thanksgiving,1.516
season,autumn,oamc-freezer-make-ahead,1.169
season,autumn,heirloom-historical,1.177
season,autumn,apples,1.654
season,autumn,toddler-friendly,1.125
season,autumn,pies-and-tarts,1.394
season,autumn,squash,1.376
season,autumn,pies,1.424
season,autumn,roast,1.132
season,autumn,turkey,1.309
season,autumn,pork-sausage,1.14
season,autumn,roast-beef,1.107
season,autumn,stews,1.119
season,autumn,elbow-macaroni,1.144
season,autumn,chili,1.453
season,autumn,1-day-or-more,1.105
season,autumn,bisques-cream-soups,1.308
season,autumn,yams-sweet-potatoes,1.406
season,autumn,savory-pies,1.169
season,autumn,mixer,1.108
season,autumn,halloween,2.809
season,autumn,cobblers-and-crisps,1.14
season,autumn,chowders,1.528
season,autumn,canning,1.609
season,autumn,ravioli-tortellini,1.126
season,autumn,lasagna,1.204
season,autumn,cheesecake,1.15
season,autumn,clear-soups,1.155
season,autumn,whole-turkey,2.233
season,autumn,crusts-pastry-dough-2,1.458
season,autumn,pasta-shells,1.179
season,autumn,polish,1.236
season,autumn,stuffings-dressings,1.696
season,autumn,jams-and-preserves,1.56
season,autumn,soy-tofu,1.151
season,autumn,stocks,1.346
season,autumn,celebrity,1.108
season,autumn,meatloaf,1.199
season,autumn,beef-sausage,1.207
season,autumn,,1.483
season,autumn,water-bath,1.856
season,autumn,szechuan,1.116
season,autumn,russian,1.167
season,autumn,reynolds-wrap,4.063
season,autumn,wild-game,1.175
season,autumn,rosh-hashanah,1.272
season,autumn,jellies,1.744
season,autumn,deer,1.234
season,autumn,pears,1.396
season,autumn,hungarian,1.163
season,autumn,clams,1.137
season,autumn,pressure-cooker,1.462
season,autumn,pennsylvania-dutch,1.446
season,autumn,gumbo,1.142
season,autumn,czech,1.427
season,autumn,mahi-mahi,1.185
season,autumn,bok-choys,1.282
season,autumn,dairy-free,1.212
season,autumn,chilean,1.256
season,autumn,native-american,1.215
season,autumn,chicken-livers,1.34
season,autumn,unprocessed-freezer,3.045
season,autumn,plums,1.172
season,autumn,mongolian,3.588
season,autumn,meatballs,3.588
season,autumn,orange-roughy,1.256
season,autumn,april-fools-day,2.093
season,autumn,oysters,1.675
season,autumn,halloween-cupcakes,4.187
season,autumn,chutneys,4.187
season,autumn,college,1.57
season,autumn,nepalese,1.142
season,autumn,mashed-potatoes,1.57
season,autumn,duck,1.396
season,autumn,halloween-cakes,1.57
season,autumn,avocado,1.396
season,autumn,pheasant,2.791
season,autumn,duck-breasts,1.396
season,autumn,labor-day,2.093
season,autumn,leftovers,2.791
season,autumn,artichoke,2.093
season,autumn,pasta-rice-and-grains-elbow-macaroni,2.093
season,autumn,crawfish,2.093
season,autumn,sudanese,2.093
season,autumn,pumpkin,4.187
season,autumn,pumpkin-bread,4.187
season,autumn,bread-pudding,4.187
season,autumn,whole-duck,4.187
season,spring,cakes,1.101
season,spring,grilling,1.139
season,spring,fish,1.142
season,spring,barbecue,1.148
season,spring,spring,1.177
season,spring,berries,1.14
season,spring,lactose,1.11
season,spring,easter,1.101
season,spring,saltwater-fish,1.117
season,spring,south-west-pacific,1.176
season,spring,strawberries,1.456
season,spring,australian,1.244
season,spring,carrots,1.123
season,spring,st-patricks-day,2.028
season,spring,savory-sauces,1.143
season,spring,ham,1.157
season,spring,coconut,1.27
season,spring,salad-dressings,1.298
season,spring,asparagus,1.785
season,spring,brownies,1.108
season,spring,freshwater-fish,1.267
season,spring,puddings-and-mousses,1.112
season,spring,wedding,1.126
season,spring,irish,1.973
season,spring,indian,1.145
season,spring,lemon,1.186
season,spring,tilapia,1.272
season,spring,coffee-cakes,1.123
season,spring,cajun,1.104
season,spring,cauliflower,1.165
season,spring,tuna,1.17
season,spring,german,1.131
season,spring,curries,1.136
season,spring,spanish,1.262
season,spring,lamb-sheep,1.372
season,spring,cupcakes,1.143
season,spring,oranges,1.123
season,spring,burgers,1.121
season,spring,brown-rice,1.168
season,spring,sweet-sauces,1.259
season,spring,lettuces,1.131
season,spring,simply-potatoes,3.865
season,spring,shakes,1.23
season,spring,lebanese,1.133
season,spring,steam,1.237
season,spring,gelatin,1.183
season,spring,mango,1.385
season,spring,passover,1.109
season,spring,chocolate-chip-cookies,1.213
season,spring,rosh-hashana,1.123
season,spring,mardi-gras-carnival,1.165
season,spring,sourdough,1.326
season,spring,korean,1.164
season,spring,welsh,1.635
season,spring,jewish-ashkenazi,1.312
season,spring,catfish,1.748
season,spring,medium-grain-rice,1.316
season,spring,halibut,1.313
season,spring,short-grain-rice,1.222
season,spring,iranian-persian,1.208
season,spring,soul,1.101
season,spring,vietnamese,1.291
season,spring,turkey-burgers,1.341
season,spring,new-zealand,1.128
season,spring,belgian,1.249
season,spring,sole-and-flounder,1.331
season,spring,chard,1.464
season,spring,steaks,1.328
season,spring,turkey-breasts,1.78
season,spring,jewish-sephardi,1.287
season,spring,smoker,1.263
season,spring,malaysian,1.162
season,spring,manicotti,1.23
season,spring,no-shell-fish,1.501
season,spring,dutch,1.148
season,spring,bok-choys,1.11
season,spring,indonesian,1.133
season,spring,palestinian,1.438
season,spring,quebec,1.18
season,spring,kiwifruit,1.77
season,spring,memorial-day,4.183
season,spring,tarts,1.23
season,spring,whitefish,1.637
season,spring,hunan,1.394
season,spring,papaya,2.231
season,spring,pakistani,1.464
season,spring,perch,1.93
season,spring,ethiopian,1.23
season,spring,venezuelan,1.101
season,spring,nepalese,1.901
season,spring,rabbit,3.346
season,spring,mussels,1.673
season,spring,beef-organ-meats,1.115
season,spring,squid,1.255
season,spring,halloween-cakes,1.569
season,spring,beef-liver,1.569
season,spring,cantonese,1.569
season,spring,bass,2.091
season,spring,avocado,1.394
season,spring,zucchini,2.091
season,spring,iraqi,1.394
season,spring,leftovers,1.394
season,spring,crawfish,2.091
season,spring,georgian,2.091
season,summer,15-minutes-or-less,1.167
season,summer,low-cholesterol,1.101
season,summer,vegetarian,1.127
season,summer,low-protein,1.145
season,summer,low-saturated-fat,1.111
season,summer,side-dishes,1.107
season,summer,3-steps-or-less,1.194
season,summer,fruit,1.135
season,summer,european,1.151
season,summer,for-1-or-2,1.124
season,summer,brunch,1.109
season,summer,technique,1.179
season,summer,salads,1.509
season,summer,summer,1.562
season,summer,picnic,1.159
season,summer,condiments-etc,1.107
season,summer,seafood,1.102
season,summer,vegan,1.166
season,summer,grilling,1.544
season,summer,barbecue,1.594
season,summer,no-cook,1.228
season,summer,beverages,1.434
season,summer,served-cold,1.423
season,summer,berries,1.589
season,summer,sandwiches,1.184
season,summer,fish,1.103
season,summer,refrigerator,1.136
season,summer,spring,1.146
season,summer,tomatoes,1.44
season,summer,independence-day,1.355
season,summer,tropical-fruit,1.248
season,summer,onions,1.224
season,summer,saltwater-fish,1.145
season,summer,shellfish,1.111
season,summer,greek,1.456
season,summer,squash,1.326
season,summer,south-west-pacific,1.314
season,summer,shrimp,1.187
season,summer,citrus,1.279
season,summer,corn,1.204
season,summer,african,1.712
season,summer,broil,1.343
